jinhanki_id_joined,geom_joined_any,population
神田淡路町一丁目 - 1693,POINT(139.7674014 35.6962707),3720.0
神田駿河台二丁目 - 1149,POINT(139.7641642 35.7003872),5392.0
臨海町二丁目 - 3979,POINT(139.8615415 35.6493391),5648.0
柳沢四丁目 - 1039,POINT(139.5490373 35.7176593),6160.0
根岸一丁目 - 4111,POINT(139.7796589 35.7208887),7952.0
小竹町一丁目 - 4694,POINT(139.6757165 35.7381314),10784.0
南町田三丁目 - 674,POINT(139.4733622 35.5166677),4369.0
玉川二丁目 - 2162,POINT(139.629821 35.613636),5905.0
外神田一丁目 - 3709,POINT(139.7726468 35.6982382),5905.0
西片二丁目 - 798,POINT(139.7570814 35.7152806),9762.0
巣鴨一丁目 - 4039,POINT(139.739625 35.733587),9762.0
台東四丁目 - 2823,POINT(139.7792062 35.706651),10274.0
台東四丁目 - 2806,POINT(139.7798432 35.7063849),10274.0
東上野一丁目 - 533,POINT(139.780073 35.7074345),10274.0
台東四丁目 - 2829,POINT(139.7797004 35.7063725),10274.0
台東四丁目 - 2814,POINT(139.7795023 35.7063873),10274.0
内藤町 - 1786,POINT(139.7132849 35.6859924),2441.0
内藤町 - 1782,POINT(139.7132863 35.6859637),2441.0
内藤町 - 1781,POINT(139.7132849 35.6859853),2441.0
内藤町 - 1780,POINT(139.7132849 35.6859742),2441.0
落合六丁目 - 2863,POINT(139.4255787 35.6081816),2569.0
千駄ヶ谷五丁目 - 705,POINT(139.704467 35.685349),2825.0
新宿一丁目 - 4595,POINT(139.7119098 35.6889818),3081.0
千駄ヶ谷四丁目 - 727,POINT(139.705401 35.681236),3593.0
千駄ヶ谷四丁目 - 736,POINT(139.705401 35.681263),3593.0
四谷町 - 4152,POINT(139.2953929 35.6735338),3721.0
浅草橋二丁目 - 3131,POINT(139.7860089 35.6996475),6930.0
神明二丁目 - 1834,POINT(139.390926 35.668801),6930.0
本郷二丁目 - 3295,POINT(139.7613724 35.7027934),8228.0
王子本町一丁目 - 1270,POINT(139.7341354 35.7533058),9252.0
王子本町一丁目 - 1271,POINT(139.734146 35.7535213),9252.0
大崎五丁目 - 3734,POINT(139.7236953 35.6221087),10788.0
用賀四丁目 - 4633,POINT(139.6312389 35.6265119),7699.0
用賀四丁目 - 1633,POINT(139.6313966 35.6265339),7699.0
駒場一丁目 - 1031,POINT(139.688922 35.65717),8742.0
豊島一丁目 - 4611,POINT(139.7385863 35.758615),11814.0
川口町 - 4176,POINT(139.2803419 35.6928686),1093.0
内藤町 - 1784,POINT(139.7094704 35.6850982),1669.0
内藤町 - 1783,POINT(139.7094869 35.6851085),1669.0
内藤町 - 1785,POINT(139.709454 35.6850878),1669.0
内藤町 - 1779,POINT(139.7095033 35.6851189),1669.0
神田淡路町 - 1234,POINT(139.7679001 35.696786),3082.0
高石三丁目 - 1118,POINT(139.5195922 35.6138364),3338.0
高石三丁目 - 1117,POINT(139.5193705 35.6131033),3338.0
高石三丁目 - 1119,POINT(139.5196146 35.6138127),3338.0
新町三丁目 - 2630,POINT(139.2996334 35.7828983),3978.0
千代ケ丘六丁目 - 826,POINT(139.5097052 35.6144095),4628.0
外神田五丁目 - 3587,POINT(139.7726755 35.7043898),5908.0
